timestamp,open,high,low,close,volume
2024-03-26 11:30:00,521.28,521.305,521.095,521.2,5813
2024-03-26 11:45:00,521.15,521.455,521.1,521.4,8811
2024-03-26 12:00:00,521.4,521.45,521.125,521.135,16233
2024-03-26 12:15:00,521.18,521.225,520.93,521.12,13154
2024-03-26 12:30:00,521.14,521.14,520.9,520.94,12406
2024-03-26 12:45:00,520.895,521.07,520.805,520.9,16329
2024-03-26 13:00:00,520.87,521.0,520.735,520.99,18844
2024-03-26 13:15:00,520.95,520.99,520.76,520.89,13342
2024-03-26 13:30:00,520.87,520.99,520.65,520.65,13413
2024-03-26 13:45:00,520.59,520.815,520.53,520.64,22131
2024-03-26 14:00:00,520.65,520.96,520.65,520.85,18322
2024-03-26 14:15:00,520.845,521.01,520.805,520.96,19710
2024-03-26 14:30:00,520.955,521.03,520.675,520.76,15940
2024-03-26 14:45:00,520.73,520.94,520.675,520.88,17605
2024-03-26 15:00:00,520.77,520.9,520.685,520.7,20153
2024-03-26 15:15:00,520.7,520.73,519.97,520.2,68789
2024-03-26 15:30:00,520.21,520.21,519.18,519.2,173304
2024-03-26 15:45:00,519.35,519.415,518.45,518.72,160375
2024-03-27 09:30:00,521.72,521.75,521.15,521.43,33775
2024-03-27 09:45:00,521.43,521.69,520.755,520.915,33461
2024-03-27 10:00:00,520.88,520.95,519.76,520.16,70719
2024-03-27 10:15:00,520.27,520.455,519.79,519.92,26213
2024-03-27 10:30:00,519.98,520.41,519.865,520.0,22461
2024-03-27 10:45:00,519.96,520.075,519.64,519.84,59576
2024-03-27 11:00:00,519.815,520.07,519.735,520.01,18002
2024-03-27 11:15:00,519.965,520.155,519.72,519.72,11181
2024-03-27 11:30:00,519.71,520.08,519.545,520.005,47107
2024-03-27 11:45:00,520.01,520.01,519.575,519.575,9324
2024-03-27 12:00:00,519.49,519.75,519.485,519.63,12435
2024-03-27 12:15:00,519.675,520.1,519.67,520.06,12226
2024-03-27 12:30:00,520.09,520.385,520.09,520.215,17755
2024-03-27 12:45:00,520.27,520.47,520.265,520.3,10241
2024-03-27 13:00:00,520.34,520.47,519.75,520.02,14433
2024-03-27 13:15:00,520.04,520.4,520.035,520.325,12219
2024-03-27 13:30:00,520.345,520.435,520.12,520.12,13067
2024-03-27 13:45:00,520.3,520.365,520.1,520.18,15911
2024-03-27 14:00:00,520.165,520.34,520.03,520.315,27099
2024-03-27 14:15:00,520.36,520.9,520.31,520.83,20691
2024-03-27 14:30:00,520.95,520.97,520.41,520.56,21717
2024-03-27 14:45:00,520.5,520.625,520.155,520.305,31115
2024-03-27 15:00:00,520.31,520.61,519.94,520.18,27571
2024-03-27 15:15:00,520.12,520.91,519.87,520.9,30544
2024-03-27 15:30:00,520.89,522.44,520.77,522.44,59628
2024-03-27 15:45:00,522.47,523.11,522.07,523.08,208612
2024-03-27 16:00:00,523.07,523.39,523.07,523.27,4600
2024-03-28 09:30:00,523.25,523.32,522.78,523.26,31080
2024-03-28 09:45:00,523.36,523.665,523.13,523.13,30821
2024-03-28 10:00:00,523.32,523.71,522.955,523.145,94306
2024-03-28 10:15:00,523.16,523.32,522.935,523.18,45023
2024-03-28 10:30:00,523.16,523.46,523.045,523.42,23617
2024-03-28 10:45:00,523.465,523.53,523.27,523.44,32726
2024-03-28 11:00:00,523.425,523.595,523.16,523.39,19841
2024-03-28 11:15:00,523.42,523.6,523.385,523.57,31281
2024-03-28 11:30:00,523.58,523.725,523.3,523.3,34722
2024-03-28 11:45:00,523.3,523.62,523.26,523.585,13788
2024-03-28 12:00:00,523.59,523.595,523.215,523.36,21316
2024-03-28 12:15:00,523.3,523.42,523.16,523.36,13591
