exit_time,sym,direction,entry_price,exit_price,dollar_pos,pnl
2024-04-09 11:30:00-04:00,NQ,Short,440.3500061035156,440.3900146484375,-319568.0363000598,-29.03474953716879
2024-04-09 13:30:00-04:00,NQ,Short,440.3900146484375,439.79998779296875,-298235.84786499385,399.5711838387459
2024-04-10 09:30:00-04:00,ES,Long,518.4000244140625,514.6599731445312,339576.9749041131,-2449.913650234114
2024-04-10 09:30:00-04:00,NQ,Short,439.79998779296875,437.8999938964844,-321472.0298973239,1388.8015271680347
2024-04-10 09:30:00-04:00,YM,Long,388.1000061035156,384.8999938964844,350543.9689068373,-2890.3503271367276
2024-04-10 14:30:00-04:00,NQ,Short,437.8999938964844,438.0400085449219,-244057.8930644469,-78.03535184312742
2024-04-10 15:30:00-04:00,YM,Long,384.8999938964844,384.5400085449219,287294.20382058946,-268.69760094628066
2024-04-11 09:30:00-04:00,YM,Long,384.5400085449219,382.0899963378906,315695.14102169004,-2011.382254164686
2024-04-11 10:30:00-04:00,NQ,Short,438.0400085449219,439.7950134277344,-215630.79318339043,-863.9235858355927
2024-04-11 10:30:00-04:00,YM,Long,382.0899963378906,382.3900146484375,270201.83604871493,212.16336238834987
2024-04-11 14:30:00-04:00,ES,Long,514.6599731445312,518.9099731445312,276184.4596146837,2280.6979648925867
2024-04-11 14:30:00-04:00,NQ,Short,439.7950134277344,445.9049987792969,-239124.45624807678,-3322.1088922513927
2024-04-11 14:30:00-04:00,YM,Long,382.3900146484375,385.4599914550781,291711.59963526734,2341.974975292326
2024-04-11 15:30:00-04:00,NQ,Short,445.9049987792969,445.4599914550781,-263039.673140605,262.5101342844825
2024-04-12 09:30:00-04:00,ES,Long,518.9099731445312,513.7999877929688,311955.0277447068,-3071.9887930882505
2024-04-12 09:30:00-04:00,NQ,Short,445.4599914550781,440.5899963378906,-286802.00545876456,3135.4653458808257
2024-04-12 09:30:00-04:00,YM,Long,385.4599914550781,381.3699951171875,322125.9802387737,-3417.97880123067
2024-04-12 13:30:00-04:00,NQ,Short,440.5899963378906,438.05999755859375,-237853.11929799555,1365.8233425127153
2024-04-12 14:30:00-04:00,ES,Long,513.7999877929688,509.5050048828125,283755.8637763546,-2371.986404303192
2024-04-12 15:30:00-04:00,NQ,Short,438.05999755859375,438.30999755859375,-260633.17124551182,-148.7428506928724
2024-04-15 09:30:00-04:00,ES,Long,509.5050048828125,512.5700073242188,305197.77599803277,1835.9621977822967
2024-04-15 09:30:00-04:00,NQ,Short,438.30999755859375,439.5199890136719,-289358.66091922694,-798.7988161696188
2024-04-15 12:30:00-04:00,NQ,Short,439.5199890136719,432.7900085449219,-261712.38147321812,4007.3699940186775
2024-04-15 15:30:00-04:00,NQ,Short,432.7900085449219,430.989990234375,-228026.1764576084,948.3844007574512
2024-04-16 11:30:00-04:00,ES,Long,512.5700073242188,504.4901123046875,280476.4060064395,-4421.288572497358
2024-04-16 12:30:00-04:00,NQ,Short,430.989990234375,431.6400146484375,-256660.1443323184,-387.0979923271208
2024-04-16 13:30:00-04:00,NQ,Short,431.6400146484375,430.6199951171875,-284326.48945649626,671.899181389816
2024-04-16 14:30:00-04:00,ES,Long,504.4901123046875,505.6199951171875,303879.4881032629,680.5846186174791
2024-04-17 09:30:00-04:00,ES,Long,505.6199951171875,504.3800048828125,282104.9336870071,-691.8384680570653
2024-04-17 09:30:00-04:00,NQ,Short,430.6199951171875,430.5400085449219,-251868.27032631455,46.78389260673147
2024-06-27 13:30:00-04:00,ES,Long,533.719970703125,544.77001953125,354553.7796936974,7340.6220356533695
2024-06-27 15:30:00-04:00,ES,Long,544.77001953125,546.3400268554688,528161.6762821132,1522.1426848123442
2024-06-28 09:30:00-04:00,ES,Long,546.3400268554688,549.5256958007812,551037.6950981283,3213.060707036706
2024-07-01 12:30:00-04:00,NQ,Long,479.17999267578125,480.8900146484375,267909.01614906633,956.0714372262989
2024-07-01 14:30:00-04:00,NQ,Long,480.8900146484375,480.92999267578125,295105.7894548173,24.53315095084383
2024-07-02 10:30:00-04:00,ES,Long,549.5256958007812,546.0599975585938,367592.2588843007,-2318.2971336774426
2024-07-02 13:30:00-04:00,ES,Long,546.0599975585938,547.7249755859375,473376.3697722272,1443.3601762779492
2024-07-02 14:30:00-04:00,ES,Long,547.7249755859375,547.9749755859375,499427.60998032556,227.95546681345638
2024-07-02 14:30:00-04:00,NQ,Long,480.92999267578125,486.2200012207031,320540.22171237716,3525.7948925484384
2024-07-05 09:30:00-04:00,NQ,Long,486.2200012207031,493.6700134277344,360131.114889872,5518.039560950664
2024-07-05 11:30:00-04:00,NQ,Long,493.6700134277344,495.989990234375,335606.6453786017,1577.166147943065
2024-07-11 09:30:00-04:00,NQ,Long,495.989990234375,498.2037048339844,361114.8827938589,1611.7367364596266
2024-07-11 10:30:00-04:00,ES,Long,547.9749755859375,557.3200073242188,543670.0261601877,9271.616179528204
2024-07-11 13:30:00-04:00,ES,Long,557.3200073242188,556.25,382912.6728769667,-735.1599783428913
2024-07-11 15:30:00-04:00,ES,Long,556.25,556.4199829101562,502617.76637767785,153.59358314626851
2024-07-12 09:30:00-04:00,ES,Long,556.4199829101562,559.780029296875,531246.4228137067,3208.0311244333548
2024-07-17 09:30:00-04:00,ES,Long,559.780029296875,558.6900024414062,367342.87306381343,-715.3052553653151
2024-07-17 10:30:00-04:00,ES,Long,558.6900024414062,558.5999145507812,345936.829438115,-55.781773644407835
2024-07-18 10:30:00-04:00,ES,Long,558.5999145507812,553.8104858398438,367072.99260366,-3147.2792673080417
2024-07-19 09:30:00-04:00,ES,Long,553.8104858398438,551.1099853515625,343197.43632918573,-1673.505410390264
2024-07-19 15:30:00-04:00,ES,Long,551.1099853515625,548.9500122070312,321090.8194222061,-1258.4557807731835
2024-07-22 09:30:00-04:00,ES,Long,548.9500122070312,553.2000122070312,343362.0841988761,2658.327398478801
2024-07-22 13:30:00-04:00,ES,Long,553.2000122070312,554.5800170898438,291670.874376529,727.5980150614419
2024-07-22 14:30:00-04:00,ES,Long,554.5800170898438,554.52001953125,337906.84302417695,-36.55664645105262
2024-07-24 09:30:00-04:00,ES,Long,554.52001953125,546.0399780273438,363034.69743604603,-5551.736985470958
2024-07-29 13:30:00-04:00,ES,Long,545.3699951171875,544.9600219726562,265937.8837099481,-199.91453767295326
2024-07-29 14:30:00-04:00,ES,Long,544.9600219726562,545.4299926757812,292357.96074180497,252.12799257577714
2024-07-31 09:30:00-04:00,ES,Long,545.4299926757812,550.2999877929688,315772.37240029156,2819.4450843964673
2024-10-31 09:30:00-04:00,ES,Long,578.9299926757812,571.989990234375,365179.5100555161,-4377.63930596032
2024-11-01 09:30:00-04:00,YM,Long,424.3299865722656,422.8699951171875,365179.5100555161,-1256.4725122481295
2024-11-01 14:30:00-04:00,YM,Long,422.8699951171875,420.57000732421875,307251.1569936256,-1671.1375094490388
2024-11-01 15:30:00-04:00,YM,Long,420.57000732421875,420.3999938964844,338967.6656316735,-137.02606871995482
2024-11-04 09:30:00-05:00,YM,Long,420.3999938964844,419.44000244140625,362574.713666784,-827.9463177947044
2024-12-04 09:30:00-05:00,ES,Long,598.8150024414062,605.6300048828125,362284.9324555559,4123.097599597798
2024-12-06 09:30:00-05:00,ES,Long,605.6300048828125,608.8800048828125,571572.5975385095,3067.2373016914808
2024-12-06 12:30:00-05:00,ES,Long,608.8800048828125,608.0650024414062,381217.6194062024,-510.2701485211867
