exit_time,sym,entry_price,exit_price,dollar_pos,pnl,hold_bars
2024-02-10 11:00:00,XRP,0.5251,0.5202,100463.43569944809,-937.4801655442719,482
2024-02-10 20:00:00,AVAX,37.3735,40.04,49381.49670404691,3523.2386841302273,367
2024-02-11 05:00:00,LTC,71.1876,72.441,88075.0821311512,1550.7378805183043,500
2024-02-11 05:00:00,GRT,0.169165,0.170515,42351.002933406824,337.9768507675866,500
2024-02-11 06:00:00,BCH,242.614,269.811,80610.76028112491,9036.456459090374,501
2024-02-11 07:00:00,DOGE,0.0816945,0.08285455,97666.76275552371,1386.8538045345142,502
2024-02-11 09:00:00,XRP,0.5202,0.5339,124017.40727077641,3266.1254894456792,504
2024-02-11 13:00:00,SUSHI,1.13115,1.1474,42371.77635767768,608.7091595387499,508
2024-02-11 14:00:00,ETH,2502.9315,2515.675,72002.16043296969,366.593944531663,509
2024-02-11 16:00:00,SHIB,9.365e-06,9.555e-06,78376.94090920089,1590.135480272108,487
2024-02-11 17:00:00,BCH,269.811,277.4335,59841.94045040562,1690.6100606840234,512
2024-02-11 21:00:00,AVAX,40.04,39.55085,28813.12325901883,-351.99648456915895,392
2024-02-12 01:00:00,XRP,0.5339,0.5276,97915.00754087919,-1155.3934210667671,520
2024-02-12 01:00:00,LTC,72.441,71.6475,66828.62536203688,-732.0234980850189,520
2024-02-12 03:00:00,XRP,0.5276,0.5236,123803.21988016088,-938.6142523135785,522
2024-02-12 05:00:00,ETH,2515.675,2496.079,101208.52778009535,-788.3698452219578,524
2024-02-12 07:00:00,BAT,0.228028,0.233361,65472.48179600346,1531.2362754490096,526
2024-02-12 12:00:00,XRP,0.5236,0.5188,98677.32463006019,-904.6049622312464,531
2024-02-12 12:00:00,DOGE,0.08285455,0.079845,72041.27373023446,-2616.776210296563,531
2024-02-12 14:00:00,ETH,2496.079,2528.05,123114.21215427632,1576.907011670852,533
2024-02-12 15:00:00,SHIB,9.555e-06,9.425e-06,55958.52954597634,-761.340538040497,510
2024-02-12 22:00:00,ETH,2528.05,2656.0765,91660.84147659509,4641.924297898892,541
2024-02-13 03:00:00,YFI,7191.566,7616.9575,79778.29502804612,4719.001200770894,546
2024-02-13 12:00:00,SUSHI,1.1474,1.19539,66613.88651630726,2786.125513262667,555
2024-02-13 14:00:00,XRP,0.5188,0.5173,119401.72374952186,-345.2247217122004,557
2024-02-13 15:00:00,SHIB,9.425e-06,9.405e-06,78891.89456108228,-167.40985583253374,534
2024-02-13 18:00:00,XRP,0.5173,0.526,145222.1904877733,2442.360443154135,561
2024-02-14,XRP,0.526,0.5215,124235.7960088051,-1062.8537681361793,567
2024-02-14 03:00:00,SHIB,9.405e-06,9.47e-06,52821.27723922099,365.0593323284823,546
2024-02-14 03:00:00,CRV,0.48549,0.5150065,52446.256121630766,3188.592800704685,570
2024-02-14 07:00:00,DOT,6.6722,7.595325,60505.68322512727,8371.198229548814,574
2024-02-14 09:00:00,XRP,0.5215,0.5325,102761.47060947183,2167.547798090491,576
2024-02-14 13:00:00,XRP,0.5325,0.5363,127118.39981021636,907.1359986456816,580
2024-02-14 14:00:00,DOT,7.595325,7.6337,43636.85646644401,220.47303662447635,581
2024-02-14 17:00:00,DOGE,0.079845,0.0851601,92756.2404019193,6174.571900059385,584
2024-02-14 17:00:00,BAT,0.233361,0.23585,45500.09554243999,485.2984766311968,584
2024-02-14 20:00:00,SHIB,9.47e-06,9.73e-06,75078.68183131961,2061.2943269422426,563
2024-02-15 01:00:00,YFI,7616.9575,7763.045,61989.38382968987,1188.9096283154784,592
2024-02-15 03:00:00,XRP,0.5363,0.5524,98478.70360023751,2956.3809956439013,594
2024-02-15 04:00:00,BCH,277.4335,278.6065,38920.645772974975,164.55805622500426,595
2024-02-16 05:00:00,LTC,71.6475,70.4585,89655.31616485596,-1487.8421566699901,620
2024-02-16 05:00:00,SHIB,9.73e-06,1.0025e-05,52944.09609249213,1605.190991498989,596
2024-02-16 08:00:00,ETH,2656.0765,2817.65,67624.60678275696,4113.716003290485,623
2024-02-16 11:00:00,GRT,0.170515,0.194215,64979.68299801214,9031.571926533665,626
2024-02-16 15:00:00,XRP,0.5524,0.56,69705.56939795369,959.0194196677256,630
2024-02-16 15:00:00,BCH,278.6065,273.96,61882.04396974976,-1032.0466941921402,630
2024-02-16 15:00:00,CRV,0.5150065,0.5322775,77629.79858216053,2603.3540378859075,630
2024-02-16 16:00:00,LTC,70.4585,69.721,116314.44900528308,-1217.4812995081634,631
2024-02-17 11:00:00,SHIB,1.0025e-05,9.685e-06,18587.872187028657,-630.4116252957352,596
2024-02-17 13:00:00,BAT,0.23585,0.2425395,69718.37951948663,1977.4479533415513,652
2024-02-17 14:00:00,SHIB,9.685e-06,9.475e-06,40944.691074125265,-887.804349568022,599
2024-02-17 20:00:00,DOGE,0.0851601,0.0836209,64711.81630590809,-1169.6137939957093,659
2024-02-17 20:00:00,CRV,0.5322775,0.5214485,43404.747358967754,-883.05443899143,659
2024-02-17 22:00:00,XRP,0.56,0.5497,97870.57920992278,-1800.1195818968092,661
2024-02-18,GRT,0.194215,0.21988,44553.39741828852,5887.613957420253,663
2024-02-18 05:00:00,XRP,0.5497,0.5564,119217.57378145822,1453.0793966450333,668
2024-02-18 05:00:00,SHIB,9.475e-06,9.725e-06,16666.058190246928,439.7376831199705,599
2024-02-18 08:00:00,LTC,69.721,70.462,92186.9550083227,979.7698492730609,671
2024-02-18 14:00:00,SHIB,9.725e-06,9.745e-06,41796.120580793,85.95603204276843,608
2024-02-18 18:00:00,XRP,0.5564,0.5604,96629.97040805136,694.6798735302044,681
2024-02-18 19:00:00,MKR,1977.4,2189.802,69440.1485498707,7458.898772271488,682
2024-02-18 22:00:00,ETH,2817.65,2880.7325,92950.75111465433,2081.012814647021,685
2024-02-18 23:00:00,BAT,0.2425395,0.26115,38882.19587744961,2983.5020950289586,686
2024-02-19,DOT,7.6337,7.8674,67590.13858817049,2069.2213982807066,687
2024-02-19,SHIB,9.745e-06,9.8e-06,15579.69565472444,87.93055526011521,608
2024-02-19 09:00:00,ETH,2880.7325,2910.015,69990.0931514384,711.4457530183663,696
2024-02-19 09:00:00,LTC,70.462,71.0797,116185.11609822299,1018.5283729367922,696
